room_id,escaper_id,roomrun_id,room_name_splitted,company_name_splitted,location,keywords,hashtag,min_players,max_players,website,phone,phone_2,address,latitude,longitude,waze_link,moovit_link,region_splitted,is_closed_on_weekends,is_double,is_performance,is_vr,soldier_discount,soldier_discount_weekend,student_discount,student_discount_weekend,children_discount,children_discount_weekend,is_gift_card,escape_card,birthday_discount,is_actor,is_linear,is_parallel,is_beginner,is_for_children,is_for_religious,is_scary,is_for_disabled,is_for_hearing_impaired,is_for_pregnant,is_credit_card_accepted,arseny_did,sharona_did,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,weekend_price_1,weekend_price_2,weekend_price_3, weekend_price_4,weekend_price_5,weekend_price_6,weekend_price_7,weekend_price_8,weekend_price_9,weekend_price_10,weekend_price_11,weekend_price_12
,234,cleaning-for-mr-richbaum,לנקות את מר ריצ'באום | מר ריצ׳באום | ריצ׳באום,a-mazed,אבן יהודה,,#חדרבריחה_ריצבאום,3,7,http://www.a-mazed.co.il/%D7%97%D7%93%D7%A8-%D7%91%D7%A8%D7%99%D7%97%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%AA-%D7%90%D7%AA-%D7%92%D7%99%D7%90-%D7%A8%D7%99%D7%A6%D7%91%D7%90%D7%95%D7%9D/?utm_source=escape-bot,09-8918805,,"האלה 27, אבן יהודה",32.278719,34.892976,http://tinyurl.com/jsnrrm5,http://tinyurl.com/lmc9654,שרון | השרון,,1,,,20,20,10,10,50,50,,,100,0,,,1,0,,,,,,,1,1,,,110,100,90,80,75,,,,,,,,110,100,90,80,75,,,,,
1,298,,שוליית הקוסם | שולית הקוסם,a-mazed,אבן יהודה,,#חדרבריחה_שוליתהקוסם,2,6,http://www.a-mazed.co.il/%D7%97%D7%93%D7%A8-%D7%91%D7%A8%D7%99%D7%97%D7%94-%D7%A9%D7%95%D7%9C%D7%99%D7%99%D7%AA-%D7%94%D7%A7%D7%95%D7%A1%D7%9D/,09-8918805,,"האלה 27, אבן יהודה",32.278719,34.892976,http://tinyurl.com/jsnrrm5,http://tinyurl.com/krusob3,שרון | השרון,,0,,,20,20,10,10,50,50,,,100,0,,,,,,,,,,,,,,120,110,100,90,80,,,,,,,,120,110,100,90,80,,,,,,
2,232,,הנגאובר | hangover,escaperoom | escape room | אסקייפ רום,אילת,,#חדרבריחה_הנגאובר,2,7,http://www.escaperoom.co.il/eilat-hangover?utm_source=escape-bot,079-932-2224,,"מלון הרודס, מתחם קארדו, אילת",29.548604,34.967033,http://tinyurl.com/h5xtsau,http://tinyurl.com/lxgpqad,דרום | הדרום,,0,,,20,20,,,,,1,,,0,,,1,0,0,0,,,,1,,,,120,100,90,80,80,,,,,,,,120,100,90,80,80,,,,,,
3,226,,טיטאניק | טיטניק | titanic,escaperoom | escape room | אסקייפ רום,אילת,,#חדרבריחה_טיטאניק,2,5,http://www.escaperoom.co.il/eilat-titanic?utm_source=escape-bot,079-932-2224,,"מלון הרודס, מתחם קארדו, אילת",29.548604,34.967033,http://tinyurl.com/h5xtsau,http://tinyurl.com/ksq5eg2,דרום | הדרום,,0,,,20,20,,,50,50,1,,,0,1,1,1,1,,0,,,,1,,,,120,100,90,80,80,,,,,,,,120,100,90,80,80,,,,,,
4,23,alcatraz,אלקטרז,runout,אילת,,#חדרבריחה_אלקטרז,2,4,http://www.run-out.net/alcatraz?utm_source=escape-bot,053-2552515,,"שדרות התמרים 2, אילת",29.554838,34.954247,http://tinyurl.com/jnublfw,http://tinyurl.com/n3oh6fn,דרום | הדרום,,1,,,15,15,10,10,,,,10,,0,1,0,1,1,,0,0,1,1,1,,,,100,90,80,,,,,,,,,,110,100,90,,,,,,,,
5,187,cursed-princess,קללת המכשפה,runout,אילת,,#חדרבריחה_קללתהמכשפה,2,6,http://www.run-out.net/witch?utm_source=escape-bot,053-2552515,,"שדרות התמרים 2, אילת",29.554838,34.954247,http://tinyurl.com/jnublfw,http://tinyurl.com/lsjdh85,דרום | הדרום,,0,,,15,15,10,10,,,,10,,0,0,1,1,0,,1,1,1,1,1,,,,110,100,90,80,75,,,,,,,,120,110,100,90,83,,,,,,
6,225,copacabana,קופקבאנה,seguro,אליכין,,,2,6,http://www.seguro.co.il/copacabana?utm_source=escape-bot,04-6144375,,אליכין,32.407659,34.925028,http://tinyurl.com/jy9ecs4,http://tinyurl.com/jws8xdb,שרון | השרון,,0,,,20,20,10,10,50,50,,,,0,,,,,,,,,,1,,,,110,100,90,80,70,,,,,,,,120,110,100,90,80,,,,,,
7,140,the-black-ring,הטבעת השחורה,seekers,אמירים,,#חדרבריחה_הטבעתהשחורה,2,6,http://www.seekers.co.il/?utm_source=escape-bot,058-4753951,,"רחוב החורש, מושב אמירים",32.941187,35.443478,http://tinyurl.com/jmwc84m,http://tinyurl.com/lnelabb,צפון | הצפון,,0,,,10,10,10,10,,,,,,0,,,1,,,,,,,1,,,,100,87,78,72,68,,,,,,,,110,103,95,86,80,,,,,,
8,19,goblet-of-magic,גביע הקסם, אקזיט גיים | exit game,אשדוד,,#חדרבריחה_גביעהקסם,2,6,http://www.exitgame.co.il/he/Games/2/%D7%92%D7%91%D7%99%D7%A2-%D7%94%D7%A7%D7%A1%D7%9D?utm_source=escape-bot,058-69955775,,"התקשורת 5, אשדוד",31.813890,34.657093,http://tinyurl.com/jl8nwnp,http://tinyurl.com/kwedm46,דרום | הדרום,,0,,,15,15,10,10,,,1,,,0,,,,1,,0,,,,,,,,100,87,78,70,67,,,,,,,,120,100,88,80,75,,,,,,
9,18,time-machine,מכונת זמן | מכונת הזמן, אקזיט גיים | exit game,אשדוד,,#חדרבריחה_מכונתהזמן,2,6,http://www.exitgame.co.il/he/Games/1/%D7%9E%D7%9B%D7%95%D7%A0%D7%AA-%D7%94%D7%96%D7%9E%D7%9F?utm_source=escape-bot,058-69955775,,"התקשורת 5, אשדוד",31.813890,34.657093,http://tinyurl.com/jl8nwnp,http://tinyurl.com/mra9fry,דרום | הדרום,,0,,,15,15,10,10,,,1,,,0,,,,,,,1,,,,,,,100,87,78,70,67,,,,,,,,120,100,88,80,75,,,,,,
